variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps,machine,approach,t_per_step,t_1gpu,speedup,efficiency,t_ref,gain,baseline_eff,baseline_ok
4-omp-stream,4,896,5,0,4.7539,4.779,4.839,1.8,501,H100,03,0.009538922155688622,0.04312255489021956,4.5206947060054405,1.1301736765013601,0.01635587315058926,1.7146458356236074,0.2476606070048896,False
4-omp-stream,4,1024,5,0,8.0327,8.0646,8.1065,0.9,501,H100,03,0.016097005988023952,0.06822375249500999,4.238288321801454,1.0595720804503634,0.027244450185249337,1.69251662113557,0.23693894630896345,False
4-omp-stream,4,1152,5,0,11.7173,11.7362,11.7458,0.2,500,H100,03,0.0234724,0.0992744,4.229409860091001,1.0573524650227502,0.039355387199349126,1.676666518947748,0.23677371387776996,False
4-omp-stream,4,1280,5,0,14.6186,14.6223,14.6569,0.3,500,H100,03,0.0292446,0.131375,4.492282335884232,1.123070583971058,0.04889357870096748,1.6718839957109168,0.2521907457982226,False
4-omp-stream-omp,4,512,5,0,1.2091,1.2177,1.2427,2.8,501,H100,03,0.0024305389221556885,0.006913972055888224,2.844625112917796,0.711156278229449,0.0024912463352778614,1.0249769351845353,0.6723057184750733,True
4-omp-stream-omp,4,640,5,0,1.4795,1.4953,1.5153,2.4,500,H100,03,0.0029906,0.0123044,4.1143583227446,1.02858958068615,0.0031036289528384056,1.037794741135025,0.9388484811441843,True
4-omp-stream-omp,4,768,5,0,3.3752,3.4109,3.4255,1.5,501,H100,03,0.00680818363273453,0.02739061876247505,4.02319036031546,1.005797590078865,0.0072233713944072015,1.0609836314749796,0.9114662203448367,True
4-omp-stream-omp,4,896,5,0,4.7755,4.8487,4.9102,2.8,501,H100,03,0.009678043912175648,0.04312255489021956,4.455709777878607,1.1139274444696516,0.010331839733035555,1.0675545416814431,0.9893425054043162,True
4-omp-stream-omp,4,1024,5,0,8.0756,8.0857,8.1283,0.7,501,H100,03,0.016139121756487025,0.06822375249500999,4.227228316657804,1.056807079164451,0.017203091198538085,1.0659248661794998,0.96980198019802,True
4-omp-stream-omp,4,1152,5,0,11.7063,11.7318,11.755,0.4,500,H100,03,0.0234636,0.0992744,4.230996096080737,1.0577490240201843,0.024896575072765808,1.0610722597029358,0.9650437972656827,True
4-omp-stream-omp,4,1280,5,0,14.5867,14.6124,14.6679,0.6,500,H100,03,0.0292248,0.131375,4.49532588760231,1.1238314719005775,0.031107235451535053,1.0644122612142788,0.9965119189138459,True
4-omp-stream-omp-p2p,4,512,5,0,0.9251,0.9305,0.9338,0.9,501,H100,03,0.0018572854291417165,0.006913972055888224,3.7226222461042453,0.9306555615260613,0.0019012703757640655,1.0236823839417484,0.9306555615260613,True
4-omp-stream-omp-p2p,4,640,5,0,1.1307,1.1371,1.1483,1.6,500,H100,03,0.0022742,0.0123044,5.410430041333216,1.352607510333304,0.0023883939013886204,1.0502127787303757,1.240150169546262,True
